index,file_name,class,state,label
0,10000.png,transistor,good,transistor-good
1,10001.png,capsule,good,capsule-good
2,10002.png,transistor,good,transistor-good
3,10003.png,wood,good,wood-good
4,10004.png,bottle,good,bottle-good
5,10005.png,wood,good,wood-good
6,10006.png,capsule,good,capsule-good
7,10007.png,screw,good,screw-good
8,10008.png,cable,bent_wire,cable-bent_wire
9,10009.png,transistor,good,transistor-good
10,10010.png,carpet,hole,carpet-hole
11,10011.png,hazelnut,good,hazelnut-good
12,10012.png,wood,good,wood-good
13,10013.png,pill,pill_type,pill-pill_type
14,10014.png,cable,good,cable-good
15,10015.png,wood,good,wood-good
16,10016.png,metal_nut,scratch,metal_nut-scratch
17,10017.png,wood,good,wood-good
18,10018.png,pill,good,pill-good
19,10019.png,screw,thread_side,screw-thread_side
20,10020.png,zipper,fabric_border,zipper-fabric_border
21,10021.png,leather,good,leather-good
22,10022.png,capsule,good,capsule-good
23,10023.png,pill,scratch,pill-scratch
24,10024.png,capsule,good,capsule-good
25,10025.png,hazelnut,good,hazelnut-good
26,10026.png,bottle,good,bottle-good
27,10027.png,wood,good,wood-good
28,10028.png,pill,good,pill-good
29,10029.png,toothbrush,good,toothbrush-good
30,10030.png,wood,good,wood-good
31,10031.png,hazelnut,good,hazelnut-good
32,10032.png,cable,good,cable-good
33,10033.png,hazelnut,crack,hazelnut-crack
34,10034.png,pill,good,pill-good
35,10035.png,screw,manipulated_front,screw-manipulated_front
36,10036.png,zipper,good,zipper-good
37,10037.png,tile,good,tile-good
38,10038.png,cable,good,cable-good
39,10039.png,cable,good,cable-good
40,10040.png,wood,good,wood-good
41,10041.png,carpet,good,carpet-good
42,10042.png,transistor,good,transistor-good
43,10043.png,wood,good,wood-good
44,10044.png,screw,good,screw-good
45,10045.png,tile,good,tile-good
46,10046.png,screw,good,screw-good
47,10047.png,metal_nut,good,metal_nut-good
48,10048.png,wood,good,wood-good
49,10049.png,transistor,good,transistor-good
50,10050.png,carpet,good,carpet-good
51,10051.png,carpet,good,carpet-good
52,10052.png,wood,good,wood-good
53,10053.png,bottle,contamination,bottle-contamination
54,10054.png,pill,good,pill-good
55,10055.png,tile,good,tile-good
56,10056.png,grid,good,grid-good
57,10057.png,carpet,good,carpet-good
58,10058.png,bottle,good,bottle-good
59,10059.png,wood,good,wood-good
60,10060.png,bottle,good,bottle-good
61,10061.png,wood,good,wood-good
62,10062.png,grid,good,grid-good
63,10063.png,zipper,good,zipper-good
64,10064.png,hazelnut,good,hazelnut-good
65,10065.png,screw,good,screw-good
66,10066.png,leather,good,leather-good
67,10067.png,leather,good,leather-good
68,10068.png,screw,good,screw-good
69,10069.png,screw,good,screw-good
70,10070.png,carpet,good,carpet-good
71,10071.png,zipper,good,zipper-good
72,10072.png,transistor,good,transistor-good
73,10073.png,zipper,split_teeth,zipper-split_teeth
74,10074.png,leather,good,leather-good
75,10075.png,tile,good,tile-good
76,10076.png,hazelnut,good,hazelnut-good
77,10077.png,leather,good,leather-good
78,10078.png,zipper,good,zipper-good
79,10079.png,carpet,good,carpet-good
80,10080.png,capsule,good,capsule-good
81,10081.png,zipper,good,zipper-good
82,10082.png,pill,crack,pill-crack
83,10083.png,carpet,good,carpet-good
84,10084.png,grid,good,grid-good
85,10085.png,hazelnut,good,hazelnut-good
86,10086.png,pill,good,pill-good
87,10087.png,hazelnut,good,hazelnut-good
88,10088.png,wood,combined,wood-combined
89,10089.png,hazelnut,crack,hazelnut-crack
90,10090.png,screw,good,screw-good
91,10091.png,transistor,good,transistor-good
92,10092.png,pill,color,pill-color
93,10093.png,metal_nut,good,metal_nut-good
94,10094.png,bottle,good,bottle-good
95,10095.png,screw,thread_top,screw-thread_top
96,10096.png,cable,missing_cable,cable-missing_cable
97,10097.png,transistor,good,transistor-good
98,10098.png,zipper,good,zipper-good
99,10099.png,metal_nut,good,metal_nut-good
100,10100.png,capsule,good,capsule-good
101,10101.png,cable,good,cable-good
102,10102.png,hazelnut,good,hazelnut-good
103,10103.png,metal_nut,good,metal_nut-good
104,10104.png,pill,color,pill-color
105,10105.png,carpet,good,carpet-good
106,10106.png,metal_nut,good,metal_nut-good
107,10107.png,hazelnut,good,hazelnut-good
108,10108.png,tile,good,tile-good
109,10109.png,leather,good,leather-good
110,10110.png,capsule,squeeze,capsule-squeeze
111,10111.png,capsule,squeeze,capsule-squeeze
112,10112.png,zipper,rough,zipper-rough
113,10113.png,capsule,crack,capsule-crack
114,10114.png,screw,thread_side,screw-thread_side
115,10115.png,leather,good,leather-good
116,10116.png,toothbrush,good,toothbrush-good
117,10117.png,carpet,good,carpet-good
118,10118.png,capsule,poke,capsule-poke
119,10119.png,toothbrush,good,toothbrush-good
120,10120.png,screw,good,screw-good
121,10121.png,pill,good,pill-good
122,10122.png,metal_nut,good,metal_nut-good
123,10123.png,screw,good,screw-good
124,10124.png,screw,good,screw-good
125,10125.png,hazelnut,good,hazelnut-good
126,10126.png,screw,good,screw-good
127,10127.png,carpet,good,carpet-good
128,10128.png,zipper,good,zipper-good
129,10129.png,tile,good,tile-good
130,10130.png,screw,good,screw-good
131,10131.png,zipper,good,zipper-good
132,10132.png,metal_nut,flip,metal_nut-flip
133,10133.png,carpet,metal_contamination,carpet-metal_contamination
134,10134.png,hazelnut,good,hazelnut-good
135,10135.png,transistor,good,transistor-good
136,10136.png,hazelnut,good,hazelnut-good
137,10137.png,screw,good,screw-good
138,10138.png,transistor,good,transistor-good
139,10139.png,screw,good,screw-good
140,10140.png,transistor,good,transistor-good
141,10141.png,screw,good,screw-good
142,10142.png,metal_nut,color,metal_nut-color
143,10143.png,transistor,good,transistor-good
144,10144.png,transistor,bent_lead,transistor-bent_lead
145,10145.png,tile,good,tile-good
146,10146.png,transistor,good,transistor-good
147,10147.png,cable,good,cable-good
148,10148.png,zipper,good,zipper-good
149,10149.png,leather,good,leather-good
150,10150.png,grid,good,grid-good
151,10151.png,grid,good,grid-good
152,10152.png,hazelnut,good,hazelnut-good
153,10153.png,zipper,fabric_interior,zipper-fabric_interior
154,10154.png,leather,fold,leather-fold
155,10155.png,tile,good,tile-good
156,10156.png,capsule,crack,capsule-crack
157,10157.png,tile,glue_strip,tile-glue_strip
158,10158.png,cable,good,cable-good
159,10159.png,bottle,good,bottle-good
160,10160.png,leather,good,leather-good
161,10161.png,hazelnut,good,hazelnut-good
162,10162.png,cable,good,cable-good
163,10163.png,cable,good,cable-good
164,10164.png,carpet,good,carpet-good
165,10165.png,screw,scratch_neck,screw-scratch_neck
166,10166.png,metal_nut,good,metal_nut-good
167,10167.png,screw,good,screw-good
168,10168.png,carpet,good,carpet-good
169,10169.png,screw,thread_side,screw-thread_side
170,10170.png,tile,good,tile-good
171,10171.png,cable,good,cable-good
172,10172.png,bottle,good,bottle-good
173,10173.png,hazelnut,good,hazelnut-good
174,10174.png,zipper,good,zipper-good
175,10175.png,tile,good,tile-good
176,10176.png,toothbrush,good,toothbrush-good
177,10177.png,hazelnut,good,hazelnut-good
178,10178.png,grid,good,grid-good
179,10179.png,leather,good,leather-good
180,10180.png,cable,good,cable-good
181,10181.png,capsule,good,capsule-good
182,10182.png,zipper,fabric_interior,zipper-fabric_interior
183,10183.png,pill,good,pill-good
184,10184.png,metal_nut,good,metal_nut-good
185,10185.png,hazelnut,good,hazelnut-good
186,10186.png,carpet,good,carpet-good
187,10187.png,tile,good,tile-good
188,10188.png,grid,good,grid-good
189,10189.png,capsule,good,capsule-good
190,10190.png,tile,good,tile-good
191,10191.png,metal_nut,good,metal_nut-good
192,10192.png,wood,good,wood-good
193,10193.png,wood,good,wood-good
194,10194.png,zipper,good,zipper-good
195,10195.png,leather,good,leather-good
196,10196.png,wood,good,wood-good
197,10197.png,screw,scratch_head,screw-scratch_head
198,10198.png,metal_nut,good,metal_nut-good
199,10199.png,transistor,good,transistor-good
200,10200.png,hazelnut,cut,hazelnut-cut
201,10201.png,screw,good,screw-good
202,10202.png,toothbrush,good,toothbrush-good
203,10203.png,hazelnut,good,hazelnut-good
204,10204.png,bottle,broken_large,bottle-broken_large
205,10205.png,cable,good,cable-good
206,10206.png,screw,good,screw-good
207,10207.png,bottle,good,bottle-good
208,10208.png,cable,good,cable-good
209,10209.png,tile,good,tile-good
210,10210.png,carpet,good,carpet-good
211,10211.png,grid,good,grid-good
212,10212.png,zipper,good,zipper-good
213,10213.png,carpet,good,carpet-good
214,10214.png,hazelnut,good,hazelnut-good
215,10215.png,hazelnut,good,hazelnut-good
216,10216.png,transistor,good,transistor-good
217,10217.png,bottle,broken_small,bottle-broken_small
218,10218.png,leather,good,leather-good
219,10219.png,carpet,good,carpet-good
220,10220.png,metal_nut,scratch,metal_nut-scratch
221,10221.png,bottle,good,bottle-good
222,10222.png,grid,good,grid-good
223,10223.png,carpet,good,carpet-good
224,10224.png,hazelnut,good,hazelnut-good
225,10225.png,pill,good,pill-good
226,10226.png,metal_nut,good,metal_nut-good
227,10227.png,tile,good,tile-good
228,10228.png,zipper,good,zipper-good
229,10229.png,grid,good,grid-good
230,10230.png,leather,cut,leather-cut
231,10231.png,screw,good,screw-good
232,10232.png,cable,good,cable-good
233,10233.png,leather,fold,leather-fold
234,10234.png,cable,cut_outer_insulation,cable-cut_outer_insulation
235,10235.png,zipper,squeezed_teeth,zipper-squeezed_teeth
236,10236.png,zipper,good,zipper-good
237,10237.png,toothbrush,defective,toothbrush-defective
238,10238.png,screw,good,screw-good
239,10239.png,cable,cut_inner_insulation,cable-cut_inner_insulation
240,10240.png,bottle,good,bottle-good
241,10241.png,wood,good,wood-good
242,10242.png,screw,good,screw-good
243,10243.png,pill,contamination,pill-contamination
244,10244.png,bottle,broken_small,bottle-broken_small
245,10245.png,hazelnut,good,hazelnut-good
246,10246.png,carpet,good,carpet-good
247,10247.png,tile,good,tile-good
248,10248.png,bottle,good,bottle-good
249,10249.png,cable,cut_outer_insulation,cable-cut_outer_insulation
250,10250.png,metal_nut,good,metal_nut-good
251,10251.png,wood,good,wood-good
252,10252.png,wood,good,wood-good
253,10253.png,leather,good,leather-good
254,10254.png,tile,good,tile-good
255,10255.png,capsule,good,capsule-good
256,10256.png,metal_nut,good,metal_nut-good
257,10257.png,bottle,good,bottle-good
258,10258.png,hazelnut,good,hazelnut-good
259,10259.png,zipper,good,zipper-good
260,10260.png,bottle,broken_large,bottle-broken_large
261,10261.png,wood,good,wood-good
262,10262.png,bottle,good,bottle-good
263,10263.png,capsule,good,capsule-good
264,10264.png,tile,good,tile-good
265,10265.png,metal_nut,good,metal_nut-good
266,10266.png,wood,good,wood-good
267,10267.png,carpet,good,carpet-good
268,10268.png,toothbrush,good,toothbrush-good
269,10269.png,hazelnut,good,hazelnut-good
270,10270.png,screw,good,screw-good
271,10271.png,tile,good,tile-good
272,10272.png,screw,good,screw-good
273,10273.png,screw,good,screw-good
274,10274.png,hazelnut,good,hazelnut-good
275,10275.png,metal_nut,color,metal_nut-color
276,10276.png,leather,good,leather-good
277,10277.png,leather,good,leather-good
278,10278.png,cable,good,cable-good
279,10279.png,leather,cut,leather-cut
280,10280.png,cable,good,cable-good
281,10281.png,cable,good,cable-good
282,10282.png,carpet,good,carpet-good
283,10283.png,transistor,good,transistor-good
284,10284.png,cable,missing_wire,cable-missing_wire
285,10285.png,grid,good,grid-good
286,10286.png,capsule,good,capsule-good
287,10287.png,pill,good,pill-good
288,10288.png,metal_nut,good,metal_nut-good
289,10289.png,zipper,good,zipper-good
290,10290.png,transistor,good,transistor-good
291,10291.png,carpet,thread,carpet-thread
292,10292.png,grid,broken,grid-broken
293,10293.png,screw,good,screw-good
294,10294.png,metal_nut,good,metal_nut-good
295,10295.png,hazelnut,good,hazelnut-good
296,10296.png,transistor,good,transistor-good
297,10297.png,cable,good,cable-good
298,10298.png,capsule,good,capsule-good
299,10299.png,pill,good,pill-good
300,10300.png,cable,good,cable-good
301,10301.png,hazelnut,good,hazelnut-good
302,10302.png,grid,good,grid-good
303,10303.png,carpet,good,carpet-good
304,10304.png,screw,scratch_head,screw-scratch_head
305,10305.png,pill,faulty_imprint,pill-faulty_imprint
306,10306.png,grid,good,grid-good
307,10307.png,carpet,hole,carpet-hole
308,10308.png,bottle,good,bottle-good
309,10309.png,screw,good,screw-good
310,10310.png,pill,good,pill-good
311,10311.png,carpet,good,carpet-good
312,10312.png,hazelnut,hole,hazelnut-hole
313,10313.png,screw,good,screw-good
314,10314.png,leather,glue,leather-glue
315,10315.png,metal_nut,good,metal_nut-good
316,10316.png,leather,good,leather-good
317,10317.png,capsule,good,capsule-good
318,10318.png,hazelnut,good,hazelnut-good
319,10319.png,tile,good,tile-good
320,10320.png,toothbrush,good,toothbrush-good
321,10321.png,wood,good,wood-good
322,10322.png,hazelnut,good,hazelnut-good
323,10323.png,grid,good,grid-good
324,10324.png,leather,good,leather-good
325,10325.png,wood,good,wood-good
326,10326.png,metal_nut,good,metal_nut-good
327,10327.png,leather,poke,leather-poke
328,10328.png,cable,good,cable-good
329,10329.png,grid,good,grid-good
330,10330.png,capsule,good,capsule-good
331,10331.png,metal_nut,good,metal_nut-good
332,10332.png,carpet,good,carpet-good
333,10333.png,leather,good,leather-good
334,10334.png,hazelnut,good,hazelnut-good
335,10335.png,cable,good,cable-good
336,10336.png,screw,good,screw-good
337,10337.png,zipper,good,zipper-good
338,10338.png,leather,good,leather-good
339,10339.png,tile,good,tile-good
340,10340.png,zipper,good,zipper-good
341,10341.png,wood,good,wood-good
342,10342.png,tile,good,tile-good
343,10343.png,capsule,squeeze,capsule-squeeze
344,10344.png,screw,good,screw-good
345,10345.png,leather,good,leather-good
346,10346.png,screw,good,screw-good
347,10347.png,capsule,good,capsule-good
348,10348.png,carpet,good,carpet-good
349,10349.png,hazelnut,good,hazelnut-good
350,10350.png,carpet,good,carpet-good
351,10351.png,tile,good,tile-good
352,10352.png,zipper,good,zipper-good
353,10353.png,metal_nut,good,metal_nut-good
354,10354.png,carpet,good,carpet-good
355,10355.png,bottle,good,bottle-good
356,10356.png,tile,good,tile-good
357,10357.png,wood,good,wood-good
358,10358.png,pill,good,pill-good
359,10359.png,metal_nut,good,metal_nut-good
360,10360.png,grid,good,grid-good
361,10361.png,zipper,good,zipper-good
362,10362.png,wood,good,wood-good
363,10363.png,tile,good,tile-good
364,10364.png,wood,good,wood-good
365,10365.png,screw,good,screw-good
366,10366.png,transistor,good,transistor-good
367,10367.png,screw,scratch_head,screw-scratch_head
368,10368.png,screw,good,screw-good
369,10369.png,hazelnut,good,hazelnut-good
370,10370.png,grid,good,grid-good
371,10371.png,zipper,rough,zipper-rough
372,10372.png,zipper,good,zipper-good
373,10373.png,grid,good,grid-good
374,10374.png,grid,good,grid-good
375,10375.png,bottle,good,bottle-good
376,10376.png,screw,good,screw-good
377,10377.png,transistor,good,transistor-good
378,10378.png,cable,good,cable-good
379,10379.png,wood,good,wood-good
380,10380.png,tile,good,tile-good
381,10381.png,carpet,good,carpet-good
382,10382.png,bottle,good,bottle-good
383,10383.png,tile,good,tile-good
384,10384.png,transistor,good,transistor-good
385,10385.png,bottle,good,bottle-good
386,10386.png,screw,good,screw-good
387,10387.png,leather,good,leather-good
388,10388.png,metal_nut,good,metal_nut-good
389,10389.png,hazelnut,good,hazelnut-good
390,10390.png,pill,good,pill-good
391,10391.png,transistor,good,transistor-good
392,10392.png,transistor,damaged_case,transistor-damaged_case
393,10393.png,pill,good,pill-good
394,10394.png,pill,good,pill-good
395,10395.png,hazelnut,good,hazelnut-good
396,10396.png,wood,good,wood-good
397,10397.png,hazelnut,good,hazelnut-good
398,10398.png,hazelnut,good,hazelnut-good
399,10399.png,wood,good,wood-good
400,10400.png,tile,good,tile-good
401,10401.png,bottle,good,bottle-good
402,10402.png,metal_nut,good,metal_nut-good
403,10403.png,bottle,good,bottle-good
404,10404.png,wood,good,wood-good
405,10405.png,hazelnut,good,hazelnut-good
406,10406.png,carpet,good,carpet-good
407,10407.png,pill,crack,pill-crack
408,10408.png,grid,good,grid-good
409,10409.png,cable,good,cable-good
410,10410.png,tile,good,tile-good
411,10411.png,carpet,good,carpet-good
412,10412.png,transistor,good,transistor-good
413,10413.png,pill,good,pill-good
414,10414.png,leather,good,leather-good
415,10415.png,wood,good,wood-good
416,10416.png,screw,good,screw-good
417,10417.png,carpet,good,carpet-good
418,10418.png,screw,good,screw-good
419,10419.png,zipper,good,zipper-good
420,10420.png,carpet,good,carpet-good
421,10421.png,cable,good,cable-good
422,10422.png,screw,good,screw-good
423,10423.png,leather,good,leather-good
424,10424.png,cable,good,cable-good
425,10425.png,tile,good,tile-good
426,10426.png,zipper,split_teeth,zipper-split_teeth
427,10427.png,screw,good,screw-good
428,10428.png,grid,good,grid-good
429,10429.png,tile,good,tile-good
430,10430.png,wood,good,wood-good
431,10431.png,metal_nut,good,metal_nut-good
432,10432.png,carpet,good,carpet-good
433,10433.png,hazelnut,good,hazelnut-good
434,10434.png,wood,good,wood-good
435,10435.png,transistor,good,transistor-good
436,10436.png,capsule,good,capsule-good
437,10437.png,zipper,good,zipper-good
438,10438.png,cable,good,cable-good
439,10439.png,toothbrush,good,toothbrush-good
440,10440.png,metal_nut,good,metal_nut-good
441,10441.png,wood,scratch,wood-scratch
442,10442.png,cable,good,cable-good
443,10443.png,hazelnut,good,hazelnut-good
444,10444.png,capsule,crack,capsule-crack
445,10445.png,zipper,fabric_interior,zipper-fabric_interior
446,10446.png,hazelnut,good,hazelnut-good
447,10447.png,bottle,good,bottle-good
448,10448.png,screw,good,screw-good
449,10449.png,transistor,good,transistor-good
450,10450.png,hazelnut,good,hazelnut-good
451,10451.png,transistor,good,transistor-good
452,10452.png,screw,good,screw-good
453,10453.png,screw,good,screw-good
454,10454.png,hazelnut,good,hazelnut-good
455,10455.png,leather,good,leather-good
456,10456.png,screw,good,screw-good
457,10457.png,wood,good,wood-good
458,10458.png,bottle,good,bottle-good
459,10459.png,tile,good,tile-good
460,10460.png,pill,good,pill-good
461,10461.png,metal_nut,good,metal_nut-good
462,10462.png,pill,good,pill-good
463,10463.png,tile,gray_stroke,tile-gray_stroke
464,10464.png,grid,good,grid-good
465,10465.png,hazelnut,good,hazelnut-good
466,10466.png,hazelnut,good,hazelnut-good
467,10467.png,carpet,good,carpet-good
468,10468.png,carpet,good,carpet-good
469,10469.png,carpet,good,carpet-good
470,10470.png,carpet,thread,carpet-thread
471,10471.png,hazelnut,good,hazelnut-good
472,10472.png,cable,good,cable-good
473,10473.png,capsule,faulty_imprint,capsule-faulty_imprint
474,10474.png,bottle,good,bottle-good
475,10475.png,hazelnut,good,hazelnut-good
476,10476.png,pill,good,pill-good
477,10477.png,hazelnut,good,hazelnut-good
478,10478.png,zipper,fabric_interior,zipper-fabric_interior
479,10479.png,screw,good,screw-good
480,10480.png,zipper,good,zipper-good
481,10481.png,grid,good,grid-good
482,10482.png,bottle,good,bottle-good
483,10483.png,screw,good,screw-good
484,10484.png,wood,good,wood-good
485,10485.png,carpet,good,carpet-good
486,10486.png,zipper,rough,zipper-rough
487,10487.png,tile,gray_stroke,tile-gray_stroke
488,10488.png,transistor,good,transistor-good
489,10489.png,carpet,good,carpet-good
490,10490.png,pill,good,pill-good
491,10491.png,cable,good,cable-good
492,10492.png,screw,good,screw-good
493,10493.png,metal_nut,good,metal_nut-good
494,10494.png,carpet,good,carpet-good
495,10495.png,carpet,good,carpet-good
496,10496.png,pill,good,pill-good
497,10497.png,capsule,good,capsule-good
498,10498.png,screw,scratch_neck,screw-scratch_neck
499,10499.png,leather,good,leather-good
500,10500.png,hazelnut,good,hazelnut-good
501,10501.png,metal_nut,good,metal_nut-good
502,10502.png,metal_nut,good,metal_nut-good
503,10503.png,screw,good,screw-good
504,10504.png,pill,good,pill-good
505,10505.png,tile,good,tile-good
506,10506.png,hazelnut,good,hazelnut-good
507,10507.png,metal_nut,good,metal_nut-good
508,10508.png,metal_nut,good,metal_nut-good
509,10509.png,grid,glue,grid-glue
510,10510.png,capsule,good,capsule-good
511,10511.png,tile,good,tile-good
512,10512.png,tile,good,tile-good
513,10513.png,metal_nut,good,metal_nut-good
514,10514.png,zipper,good,zipper-good
515,10515.png,hazelnut,good,hazelnut-good
516,10516.png,hazelnut,good,hazelnut-good
517,10517.png,carpet,good,carpet-good
518,10518.png,carpet,good,carpet-good
519,10519.png,hazelnut,good,hazelnut-good
520,10520.png,bottle,good,bottle-good
521,10521.png,capsule,good,capsule-good
522,10522.png,cable,good,cable-good
523,10523.png,leather,good,leather-good
524,10524.png,bottle,good,bottle-good
525,10525.png,metal_nut,good,metal_nut-good
526,10526.png,pill,good,pill-good
527,10527.png,screw,good,screw-good
528,10528.png,leather,good,leather-good
529,10529.png,hazelnut,good,hazelnut-good
530,10530.png,wood,good,wood-good
531,10531.png,metal_nut,good,metal_nut-good
532,10532.png,hazelnut,good,hazelnut-good
533,10533.png,tile,good,tile-good
534,10534.png,pill,pill_type,pill-pill_type
535,10535.png,cable,good,cable-good
536,10536.png,cable,good,cable-good
537,10537.png,zipper,combined,zipper-combined
538,10538.png,hazelnut,good,hazelnut-good
539,10539.png,hazelnut,good,hazelnut-good
540,10540.png,toothbrush,good,toothbrush-good
541,10541.png,hazelnut,good,hazelnut-good
542,10542.png,bottle,good,bottle-good
543,10543.png,pill,good,pill-good
544,10544.png,zipper,good,zipper-good
545,10545.png,transistor,good,transistor-good
546,10546.png,capsule,good,capsule-good
547,10547.png,metal_nut,good,metal_nut-good
548,10548.png,tile,good,tile-good
549,10549.png,screw,good,screw-good
